"APPLNO","MKTASST"
"5000044928","CSRIVERA    "
"5000045025","ACAJUCOM    "
"5000045027","HPMESINA    "
"5000045029","LPUNSALAN   "
"5000045032","CRONQUILLO  "
"5000044997","LPUNSALAN   "
"5000045005","HPMESINA    "
"5000045033","FCARREON    "
"5000045142","FCARREON    "
"5000045143","LPUNSALAN   "
"5000045144","CSRIVERA    "
"5000045115","CSRIVERA    "
"5000045145","CRONQUILLO  "
"5000045146","CRONQUILLO  "
"5000045130","FCARREON    "
"5000045147","LPUNSALAN   "
"5000045043","HPMESINA    "
"5000045045","CRONQUILLO  "
"5000045009","CRONQUILLO  "
"5000044979","HPMESINA    "
"5000045017","CRONQUILLO  "
"5000045019","RRIBAY      "
"5000045020","ACAJUCOM    "
"5000045148","CRONQUILLO  "
"5000045149","LPUNSALAN   "
"5000045150","CRONQUILLO  "
"5000045151","FCARREON    "
"5000045152","LPUNSALAN   "
"5000045153","CRONQUILLO  "
"5000045154","LPUNSALAN   "
"5000045155","LPUNSALAN   "
"5000044910","CSRIVERA    "
"5000044916","CSRIVERA    "
"5000044917","CSRIVERA    "
"5000044922","ACAJUCOM    "
"5000044934","LPUNSALAN   "
"5000044939","ACAJUCOM    "
"5000045021","CRONQUILLO  "
"5000045023","LPUNSALAN   "
"5000045028","CSRIVERA    "
"5000045030","FCARREON    "
"5000045031","LPUNSALAN   "
"5000045034","LPUNSALAN   "
"5000045035","FCARREON    "
"5000045036","LPUNSALAN   "
"5000045157","LPUNSALAN   "
"5000045158","HPMESINA    "
"5000045160","CSRIVERA    "
"5000045161","CRONQUILLO  "
"5000045162","CSRIVERA    "
"5000045163","CRONQUILLO  "
"5000045164","LPUNSALAN   "
"5000045165","CSRIVERA    "
"5000044950","FCARREON    "
"5000044908","CSRIVERA    "
"5000044920","CSRIVERA    "
"5000044926","CSRIVERA    "
"5000045038","LPUNSALAN   "
"5000045039","HPMESINA    "
"5000045037","CRONQUILLO  "
"5000045026","CRONQUILLO  "
"5000045046","CRONQUILLO  "
"5000045047","HPMESINA    "
"5000045048","HPMESINA    "
"5000045166","CSRIVERA    "
"5000045135","CSRIVERA    "
"5000045167","CRONQUILLO  "
"5000045168","HPMESINA    "
"5000045169","CSRIVERA    "
"5000045170","CSRIVERA    "
"5000045171","CRONQUILLO  "
"5000045172","FCARREON    "
"5000044931","HPMESINA    "
"5000044937","FCARREON    "
"5000044938","FCARREON    "
"5000044944","HPMESINA    "
"5000044945","FCARREON    "
"5000044957","FCARREON    "
"5000044962","LPUNSALAN   "
"5000045049","CRONQUILLO  "
"5000045001","FCARREON    "
"5000045008","LPUNSALAN   "
"5000045041","LPUNSALAN   "
"5000045042","CRONQUILLO  "
"5000045050","CRONQUILLO  "
"5000045051","LPUNSALAN   "
"5000045173","LPUNSALAN   "
"5000045174","CRONQUILLO  "
"5000045175","LPUNSALAN   "
"5000045176","LPUNSALAN   "
"5000045177","LPUNSALAN   "
"5000045178","LPUNSALAN   "
"5000045179","CRONQUILLO  "
"5000045180","FCARREON    "
"5000045181","LPUNSALAN   "
"5000044941","LPUNSALAN   "
"5000044951","CSRIVERA    "
"5000045205","CRONQUILLO  "
"5000045209","CSRIVERA    "
"5000045220","CRONQUILLO  "
"5000045221","CRONQUILLO  "
"5000045233","LPUNSALAN   "
"5000045234","CRONQUILLO  "
"5000045240","AVDELAFUENTE"
"5000045244","CRONQUILLO  "
"5000045204","LPUNSALAN   "
"5000045223","CSRIVERA    "
"5000045227","HPMESINA    "
"5000045237","CRONQUILLO  "
"5000045241","CRONQUILLO  "
"5000045243","CRONQUILLO  "
"5000045255","CRONQUILLO  "
"5000045207","LPUNSALAN   "
"5000045222","CSRIVERA    "
"5000045229","CSRIVERA    "
"5000045230","CSRIVERA    "
"5000045249","LPUNSALAN   "
"5000045196","CSRIVERA    "
"5000045258","LPUNSALAN   "
"5000045263","FCARREON    "
"5000045208","LPUNSALAN   "
"5000045245","CRONQUILLO  "
"5000045262","CRONQUILLO  "
"5000045264","CRONQUILLO  "
"5000045265","HPMESINA    "
"5000045218","FCARREON    "
"5000045219","CRONQUILLO  "
"5000045231","CRONQUILLO  "
"5000045246","FCARREON    "
"5000045256","FCARREON    "
"5000045259","LPUNSALAN   "
"5000045260","CRONQUILLO  "
"5000045266","CRONQUILLO  "
"5000045228","CSRIVERA    "
"5000045238","FCARREON    "
"5000045257","LPUNSALAN   "
"5000045268","CRONQUILLO  "
"5000045206","CSRIVERA    "
"5000045217","HPMESINA    "
"5000045235","CRONQUILLO  "
"5000045236","CSRIVERA    "
"5000045242","CRONQUILLO  "
"5000045254","CRONQUILLO  "
"5000045267","CRONQUILLO  "
"5000045210","CSRIVERA    "
"5000045213","LPUNSALAN   "
"5000045214","LPUNSALAN   "
"5000045226","FCARREON    "
"5000045232","CRONQUILLO  "
"5000045247","CRONQUILLO  "
"5000045250","CRONQUILLO  "
"5000045239","LPUNSALAN   "
"5000045253","CRONQUILLO  "
"5000045215","CRONQUILLO  "
"5000045216","CRONQUILLO  "
"5000045248","HPMESINA    "
"5000045251","FCARREON    "
"5000045252","CRONQUILLO  "
"5000045211","HPMESINA    "
"5000045212","CRONQUILLO  "
"5000045224","FCARREON    "
"5000045225","CSRIVERA    "
"5000045261","FCARREON    "
