Loan No.,Book Date,Loan Status,Product,Branch,Loan Amount,PN Amount,Term
1000217163,"December 21, 2021",POS,NC-BPL,PAMPANGA HUB,"50,000.00","59,472.00",12
1000217269,"December 27, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"380,000.00","557,856.00",36
1000216285,"October 22, 2021",POS,NC-BPL,PAMPANGA HUB,"100,000.00","120,168.00",12
1000216298,"October 22, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"600,000.00","885,132.00",36
1000216341,"October 28, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"310,000.00","457,344.00",36
1000216540,"November 16, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"100,000.00","108,192.00",6
1000216604,"November 22, 2021",CAN,NC-BPL,NUEVA ECIJA HUB,"50,000.00","60,720.00",12
1000216666,"November 24, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"888,000.00","1,450,656.00",48
1000216765,"November 29, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"300,000.00","442,584.00",36
1000216849,"December 03, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"100,000.00","118,920.00",12
1000216962,"December 15, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"570,000.00","860,544.00",36
1000216975,"December 16, 2021",POS,NC-BPL,PAMPANGA HUB,"100,000.00","120,168.00",12
1000216988,"December 16, 2021",POS,NC-BPL,PAMPANGA HUB,"50,000.00","59,472.00",12
1000216998,"December 16, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"100,000.00","118,920.00",12
1000217080,"December 17, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"460,000.00","658,728.00",36
1000217101,"December 20, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"50,000.00","60,096.00",12
1000217145,"December 21, 2021",POS,CARS-SECOND HAND,TARLAC BRANCH,"424,000.00","607,176.00",36
1000217234,"December 24, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"400,000.00","610,128.00",36
1000217240,"December 27, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"300,000.00","440,424.00",36
