"APPLNO","APPLDT","ENTRYDT","PRODDS","LOANTP"
"5000045817","27-Sep-2022 12:00:00 AM","28-Sep-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045809","23-Sep-2022 12:00:00 AM","28-Sep-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045811","27-Sep-2022 12:00:00 AM","27-Sep-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045781","08-Sep-2022 12:00:00 AM","13-Sep-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000004177","22-Dec-2008 12:00:00 AM","27-Sep-2022 12:00:00 AM","CARS-SECOND HAND              ",""
"5000045816","27-Sep-2022 12:00:00 AM","27-Sep-2022 12:00:00 AM","NC-BPL                        ",""
"5000045813","27-Sep-2022 12:00:00 AM","27-Sep-2022 12:00:00 AM","NC-BPL                        ",""
"5000045798","19-Sep-2022 12:00:00 AM","20-Sep-2022 12:00:00 AM","RE-RESIDENTIAL                ","REF         "
