Transmittal ID,Transmittal Type,Employee From,Department From,Employee To,Department To,Transaction Date,Transaction Time,Received By
31,0,2,DEPT1,,DEPT2,"January 13, 2021",9:38:53 am,
31,1,2,DEPT1,,DEPT2,"January 13, 2021",9:40:27 am,3
33,0,3,DEPT2,35,DEPT6,"January 13, 2021",1:34:40 pm,
33,1,3,DEPT2,35,DEPT6,"January 15, 2021",9:33:51 am,35
34,0,3,DEPT2,35,DEPT6,"January 14, 2021",3:06:01 pm,
34,1,3,DEPT2,35,DEPT6,"January 15, 2021",9:34:02 am,35
35,0,3,DEPT2,35,DEPT6,"January 14, 2021",3:08:55 pm,
35,1,3,DEPT2,35,DEPT6,"January 15, 2021",9:34:21 am,35
36,0,6,DEPT1,,DEPT2,"January 14, 2021",3:37:55 pm,
36,1,6,DEPT1,,DEPT2,"January 14, 2021",3:40:03 pm,3
37,0,17,DEPT4,,DEPT6,"January 15, 2021",9:23:28 am,
37,1,17,DEPT4,,DEPT6,"January 15, 2021",9:34:14 am,35
37,2,35,DEPT6,17,DEPT4,"January 15, 2021",9:51:42 am,
37,1,35,DEPT6,17,DEPT4,"January 15, 2021",9:52:20 am,17
37,2,17,DEPT4,17,DEPT4,"January 15, 2021",11:20:25 am,
37,1,17,DEPT4,17,DEPT4,"February 16, 2021",3:28:48 pm,17
38,0,3,DEPT2,35,DEPT6,"January 15, 2021",11:06:35 am,
38,0,3,DEPT2,28,DEPT6,"January 15, 2021",11:07:13 am,
38,1,3,DEPT2,28,DEPT6,"January 15, 2021",11:11:35 am,28
38,2,28,DEPT6,,DEPT2,"January 15, 2021",11:36:23 am,
38,1,28,DEPT6,,DEPT2,"January 15, 2021",1:27:03 pm,3
39,0,28,DEPT6,9,DEPT4,"January 15, 2021",11:13:00 am,
39,1,28,DEPT6,9,DEPT4,"January 15, 2021",3:07:26 pm,9
39,2,9,DEPT4,,DEPT6,"February 08, 2021",4:16:26 pm,
39,1,9,DEPT4,,DEPT6,"February 08, 2021",4:21:02 pm,35
40,0,17,DEPT4,,DEPT6,"January 15, 2021",11:22:50 am,
40,1,17,DEPT4,,DEPT6,"January 15, 2021",11:23:38 am,35
41,0,3,DEPT2,9,DEPT4,"January 15, 2021",11:32:12 am,
41,1,3,DEPT2,9,DEPT4,"January 15, 2021",3:07:39 pm,9
